grand,great
bon,good
fort,strong
certain,certain
important,important
propre,clean
sûr,sure
juste,fair
clair,clear
libre,free
beau,handsome
sérieux,serious
responsable,responsible
objectif,objective
riche,rich
capable,capable
précis,precise
réel,real
spécial,special
naturel,natural
heureux,happy
supérieur,superior
honorable,honorable
ouvert,open
civil,civil
seul,alone
jeune,young
simple,simple
public,public
social,social
différent,different
particulier,particular
unique,unique
prêt,ready
publique,public
secret,secret
facile,easy
normal,normal
direct,direct
critique,critical
complexe,complex
ferme,firm
physique,physical
disponible,available
rare,rare
moderne,modern
extrême,extreme
absolu,absolute
permanent,permanent
ordinaire,ordinary
mauvais,wrong
difficile,difficult
grave,serious
faux,false
contraire,contrary
impossible,impossible
dangereux,dangerous
faible,weak
lourd,heavy
dur,hard
violent,violent
froid,cold
terrible,dreadful
fou,crazy
inquiet,worried
criminel,criminal
coupable,guilty
inconnu,unknown
vide,empty
incapable,incapable
sévère,severe
étroit,narrow
triste,sad
partiel,partial
inférieur,inferior
